텃밭아이디,운영주체,텃밭명,시도코드,시도명,시군구코드,시군구명,주소,실제전체면적,실제분양면적,홈페이지,모집기간,부대시설,신청방법,분양가격,위도좌표,경도좌표,등록일자,수정일자
"333","지자체/기타(도시텃밭)","문래동 공공공지 도시텃밭","1","서울특별시","20","영등포구","서울특별시 영등포구 문래동  55-6","3964","6"," "," ","화장실, 원두막, 족구장","메일,방문접수","무료","37.517727225494","126.898734565845","20160119",20160112
"316","지자체/공영주말농장","향림텃밭","1","서울특별시","22","은평구","서울특별시 은평구 불광동 458-1","2320","10"," "," ","수도시설, 화장실","홈페이지","20000","37.6277874006793","126.926627865678","20160119",20170112
"277","지자체/민영주말농장","홍씨네텃밭농원","1","서울특별시","23","종로구","서울특별시 종로구 부암동 353-1","990","9.9"," "," ","주차장,화장실","전화","200000","37.5891764122932","126.961307787485","20160119",20170112
"288","개인","삼각산장애인주말농장","1","서울특별시","3","강북구","서울특별시 강북구 우이동  73-134","4347","25"," "," ","주차장, 화장실","선착순(전화)","180천원","37.6513538673007","127.010830215532","20160119",20160112
"334","지자체/공영주말농장","꿈이닿은농장","1","서울특별시","4","강서구","서울특별시 강서구 오쇠동 102-4","1980","13"," "," ","화장실, 원두막","메일,팩스, 
방문 접수 ","40천원","37.5444181356081","126.791234260369","20160119",20160112
"337","지자체/공영주말농장","청룡산 마을텃밭","1","서울특별시","5","관악구","서울특별시 관악구 봉천동 556-90","650","2~2.5"," "," ","가재보","홈페이지,방문","50천원","37.4767928656457","126.949370114938","20160119",20160112
"282","지자체/공영주말농장","광나루텃밭","1","서울특별시","6","광진구","서울특별시 광진구 광장동 401-24","600","6"," "," ","농기구보관함,게시판,야외용벤치 등","방문 및 홈페이지","실습텃밭","37.5451525705894","127.100420093813","20160119",20160112
"279","지자체/공영주말농장","광장동텃밭","1","서울특별시","6","광진구","서울특별시 광진구 광장동 582-3","1800","6"," "," ","주차장,농기구보관함,
게시판,야외용벤치 등","방문 및 홈페이지","20천원","37.5444874281015","127.099385893858","20160119",20160112
"281","지자체/공영주말농장","아차산텃밭","1","서울특별시","6","광진구","서울특별시 광진구 광장동 378","1200","6"," "," ","농기구보관함,게시판,야외용벤치 등","방문 및 홈페이지","20천원","37.5493819546729","127.101208047335","20160119",20160112
"332","지자체/공영주말농장","공동체텃밭","1","서울특별시","7","구로구","서울특별시 구로구 궁동 59","4409","16"," "," ","급수시설,주차장,쉼터","홈페이지","-","37.5023416639554","126.826016504771","20160119",20160112
"328","지자체/공영주말농장","궁동1구역","1","서울특별시","7","구로구","서울특별시 구로구 궁동 4","3310","16"," "," ","관리실,급수시설,
화장실","홈페이지","60천원","37.5059282145229","126.828674277928","20160119",20160112
"329","지자체/공영주말농장","궁동2구역","1","서울특별시","7","구로구","서울특별시 구로구 궁동 53-2","4228","16"," "," ","관리실,급수시설,
화장실,주차장,쉼터","홈페이지","60천원","37.5009056553371","126.826746721505","20160119",20160112
"330","지자체/공영주말농장","궁동3구역","1","서울특별시","7","구로구","서울특별시 구로구 궁동 70-1","5524","16"," "," ","관리실,급수시설,
화장실,주차장,쉼터","홈페이지","60천원","37.5016564103621","126.824469625496","20160119",20160112
"331","지자체/공영주말농장","궁동4구역","1","서울특별시","7","구로구","서울특별시 구로구 궁동 125","3501","16"," "," ","관리실,급수시설,
화장실","홈페이지","60천원","37.5017822201245","126.832402040947","20160119",20160112
"308","지자체/공영주말농장","고갯마루텃밭","1","서울특별시","9","노원구","서울특별시 노원구 상계동 128-1","2843","10"," "," ","-","홈페이지","50천원","37.6678723380783","127.0708518199","20160119",20160112
"309","지자체/공영주말농장","불암허브공원텃밭","1","서울특별시","9","노원구","서울특별시 노원구 상계동  95-372","1100","10"," "," ","-","홈페이지","50천원","37.6639769847584","127.079822205079","20160119",20160112
"311","지자체/공영주말농장","상계3.4동 채비지 텃밭","1","서울특별시","9","노원구","서울특별시 노원구 상계3,4동 7-113","104","10"," "," ","-","홈페이지","20000","37.680556529962466","127.08909435702452","20160119",20170112
"312","지자체/공영주말농장","상계3.5동 채비지 텃밭","1","서울특별시","9","노원구","서울특별시 노원구 상계3,4동 5-16","133","10"," "," ","-","홈페이지","20000","37.67351518722701","127.08319161247698","20160119",20170112
"315","지자체/민영주말농장","상계주말농장","1","서울특별시","9","노원구","서울특별시 노원구 상계동 127-3","1980","15"," "," ","주차장, 식수대, 화장실","해당농장","10000","37.6679599758614","127.069519873081","20160119",20170112
"313","지자체/공영주말농장","중계4동 지렁이텃밭","1","서울특별시","9","노원구","서울특별시 노원구 중계동 453-41","1294","10"," "," ","-","홈페이지","20천원","37.6582268934894","127.072478713553","20160119",20160112
"11","지자체/민간","선사주말농장","1","서울특별시","2","강동구","강동구 암사동 189","4950","9.9"," "," ","주차장, 식수대, 화장실","전화","60,000","37.5579674605245","127.129942795606","20170113",20170113
